"customer_id","anomaly_type","severity","affected_transaction_ids","description"
"C207471778","ZERO_BALANCE_ORIGIN","HIGH","79","TRANSFER of 77957.68 from zero-balance account C207471778 (txn 79)"
"C1243171897","ZERO_BALANCE_ORIGIN","HIGH","80","TRANSFER of 17231.46 from zero-balance account C1243171897 (txn 80)"
"C1376151044","ZERO_BALANCE_ORIGIN","HIGH","81","TRANSFER of 78766.03 from zero-balance account C1376151044 (txn 81)"
"C873175411","ZERO_BALANCE_ORIGIN","HIGH","82","TRANSFER of 224606.64 from zero-balance account C873175411 (txn 82)"
"C1443967876","ZERO_BALANCE_ORIGIN","HIGH","83","TRANSFER of 125872.53 from zero-balance account C1443967876 (txn 83)"
"C1449772539","ZERO_BALANCE_ORIGIN","HIGH","84","TRANSFER of 379856.23 from zero-balance account C1449772539 (txn 84)"
"C926859124","ZERO_BALANCE_ORIGIN","HIGH","85","TRANSFER of 1505626.01 from zero-balance account C926859124 (txn 85)"
"C1603696865","ZERO_BALANCE_ORIGIN","HIGH","86","TRANSFER of 554026.99 from zero-balance account C1603696865 (txn 86)"
"C12905860","ZERO_BALANCE_ORIGIN","HIGH","87","TRANSFER of 147543.10 from zero-balance account C12905860 (txn 87)"
"C412788346","ZERO_BALANCE_ORIGIN","HIGH","88","TRANSFER of 761507.39 from zero-balance account C412788346 (txn 88)"
"C1520267010","ZERO_BALANCE_ORIGIN","HIGH","89","TRANSFER of 1429051.47 from zero-balance account C1520267010 (txn 89)"
"C908084672","ZERO_BALANCE_ORIGIN","HIGH","90","TRANSFER of 358831.92 from zero-balance account C908084672 (txn 90)"
"C288306765","ZERO_BALANCE_ORIGIN","HIGH","91","TRANSFER of 367768.40 from zero-balance account C288306765 (txn 91)"
"C1556867940","ZERO_BALANCE_ORIGIN","HIGH","92","TRANSFER of 209711.11 from zero-balance account C1556867940 (txn 92)"
"C1839168128","ZERO_BALANCE_ORIGIN","HIGH","93","TRANSFER of 583848.46 from zero-balance account C1839168128 (txn 93)"
"C1495608502","ZERO_BALANCE_ORIGIN","HIGH","94","TRANSFER of 1724887.05 from zero-balance account C1495608502 (txn 94)"
"C835773569","ZERO_BALANCE_ORIGIN","HIGH","95","TRANSFER of 710544.77 from zero-balance account C835773569 (txn 95)"
"C843299092","ZERO_BALANCE_ORIGIN","HIGH","96","TRANSFER of 581294.26 from zero-balance account C843299092 (txn 96)"
"C605982374","ZERO_BALANCE_ORIGIN","HIGH","97","TRANSFER of 11996.58 from zero-balance account C605982374 (txn 97)"
"C768216420","HIGH_VALUE_TRANSFER_OR_CASHOUT","MEDIUM","42","High-value CASH_OUT of 110414.71 by C768216420 (txn 42)"
"C1570470538","HIGH_VALUE_TRANSFER_OR_CASHOUT","MEDIUM","47","High-value CASH_OUT of 56953.90 by C1570470538 (txn 47)"
